ControlLayoutRemove,ControlLayoutRemove,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlLayoutRemove.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlLayoutRemove.png,Local Access VBA GetImageMso:ControlLayoutRemove
ControlLayoutStacked,ControlLayoutStacked,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlLayoutStacked.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlLayoutStacked.png,Local Access VBA GetImageMso:ControlLayoutStacked
ControlLayoutTabular,ControlLayoutTabular,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlLayoutTabular.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlLayoutTabular.png,Local Access VBA GetImageMso:ControlLayoutTabular
ControlLine,ControlLine,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlLine.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlLine.png,Local Access VBA GetImageMso:ControlLine
ControlListBox,List Box,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlListBox.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlListBox.png,Local Access VBA GetImageMso:FormControlListBox
ControlMargins,ControlMargins,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlMargins.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlMargins.png,Local Access VBA GetImageMso:ControlMarginsGallery
ControlMore,More Controls...,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlMore.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlMore.png,Local Access VBA GetImageMso:MoreControlsDialog
ControlNavigation,ControlNavigation,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlNavigation.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlNavigation.png,Local Access VBA GetImageMso:RmsNavigationBar
ControlOptionGroup,Group Box,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlOptionGroup.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlOptionGroup.png,Local Access VBA GetImageMso:FormControlGroupBox
ControlPadding,ControlPadding,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlPadding.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlPadding.png,Local Access VBA GetImageMso:GroupMarginsAndPaddingControlLayout
ControlRectangle,ControlRectangle,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlRectangle.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlRectangle.png,Local Access VBA GetImageMso:ControlRectangle
ControlSelect,Select Objects,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlSelect.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlSelect.png,Local Access VBA GetImageMso:ObjectsSelect
ControlSubformSubreport,ControlSubformSubreport,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlSubformSubreport.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlSubformSubreport.png,Local Access VBA GetImageMso:SubformMenu
ControlTab,ControlTab,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlTab.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlTab.png,Local Access VBA GetImageMso:ControlTabControl
ControlTextBox,Edit Box,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlTextBox.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlTextBox.png,Local Access VBA GetImageMso:FormControlEditBox
ControlWebBrowser,ControlWebBrowser,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlWebBrowser.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlWebBrowser.png,Local Access VBA GetImageMso:HyperlinkOpen
ConvertMacrosToVisualBasic,ConvertMacrosToVisualBasic,E:\Sripts\Leaner tracking\Practical\Images\Access\ConvertMacrosToVisualBasic.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ConvertMacrosToVisualBasic.png,Local Access VBA GetImageMso:MacroConvertMacrosToVisualBasic
Copy,Copy,E:\Sripts\Leaner tracking\Practical\Images\Access\Copy.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\Copy.png,Local Access VBA GetImageMso:Copy
Cut,Cut,E:\Sripts\Leaner tracking\Practical\Images\Access\Cut.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\Cut.png,Local Access VBA GetImageMso:Cut
DatabaseDocumenter,DatabaseDocumenter,E:\Sripts\Leaner tracking\Practical\Images\Access\DatabaseDocumenter.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\DatabaseDocumenter.png,Local Access VBA GetImageMso:DatabaseDocumenter
DatabaseEncryptWithPassword,DatabaseEncryptWithPassword,E:\Sripts\Leaner tracking\Practical\Images\Access\DatabaseEncryptWithPassword.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\DatabaseEncryptWithPassword.png,Local Access VBA GetImageMso:SetDatabasePassword
DateTimeInsert,DateTimeInsert,E:\Sripts\Leaner tracking\Practical\Images\Access\DateTimeInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\DateTimeInsert.png,Local Access VBA GetImageMso:DateAndTimeInsert
DecimalsDecrease,Decrease Decimal,E:\Sripts\Leaner tracking\Practical\Images\Access\DecimalsDecrease.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\DecimalsDecrease.png,Local Access VBA GetImageMso:DecimalsDecrease
DecimalsIncrease,Increase Decimal,E:\Sripts\Leaner tracking\Practical\Images\Access\DecimalsIncrease.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\DecimalsIncrease.png,Local Access VBA GetImageMso:DecimalsIncrease
DeleteLayoutColumn,DeleteLayoutColumn,E:\Sripts\Leaner tracking\Practical\Images\Access\DeleteLayoutColumn.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\DeleteLayoutColumn.png,Local Access VBA GetImageMso:TableDeleteColumns
DeleteLayoutRow,DeleteLayoutRow,E:\Sripts\Leaner tracking\Practical\Images\Access\DeleteLayoutRow.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\DeleteLayoutRow.png,Local Access VBA GetImageMso:TableDeleteRows
ExportAccess,ExportAccess,E:\Sripts\Leaner tracking\Practical\Images\Access\ExportAccess.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ExportAccess.png,Local Access VBA GetImageMso:ExportAccess
ExportExcel,ExportExcel,E:\Sripts\Leaner tracking\Practical\Images\Access\ExportExcel.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ExportExcel.png,Local Access VBA GetImageMso:ExportExcel
ExportMore,ExportMore,E:\Sripts\Leaner tracking\Practical\Images\Access\ExportMore.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ExportMore.png,Local Access VBA GetImageMso:ExportMoreMenu
ExportText,ExportText,E:\Sripts\Leaner tracking\Practical\Images\Access\ExportText.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ExportText.png,Local Access VBA GetImageMso:ExportTextFile
ExportXml,ExportXml,E:\Sripts\Leaner tracking\Practical\Images\Access\ExportXml.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ExportXml.png,Local Access VBA GetImageMso:ExportXmlFile
FieldAddMenu,FieldAddMenu,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldAddMenu.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldAddMenu.png,Local Access VBA GetImageMso:DatasheetNewField
FieldCurrency,Accounting Number Format,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldCurrency.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldCurrency.png,Local Access VBA GetImageMso:AccountingFormat
FieldDataType,Data Validation...,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldDataType.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldDataType.png,Local Access VBA GetImageMso:DataValidation
FieldDateTime,FieldDateTime,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldDateTime.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldDateTime.png,Local Access VBA GetImageMso:DateAndTimeInsert
FieldDecimalPlaces,Increase Decimal,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldDecimalPlaces.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldDecimalPlaces.png,Local Access VBA GetImageMso:DecimalsIncrease
FieldDefaultValue,Property Sheet,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldDefaultValue.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldDefaultValue.png,Local Access VBA GetImageMso:PropertySheet
FieldDelete,Delete,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldDelete.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldDelete.png,Local Access VBA GetImageMso:Delete
FieldFormat,Format Cells...,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldFormat.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldFormat.png,Local Access VBA GetImageMso:FormatCellsDialog
FieldIndexed,FieldIndexed,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldIndexed.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FieldIndexed.png,Local Access VBA GetImageMso:IndexInsert
